step,total_cost,total_scaled_cost,average_cost_per_plane,total_lateness,total_scaled_lateness,average_lateness_per_plane,total_steps,average_steps,total_waiting_steps,total_waiting_to_process_steps,total_waiting_for_route_steps,max_seconds_to_complete,total_malfunctions,missed_deliveries,total_rewards_for_all_agents,average_rewards_for_all_agents,score,total_cargo_generated,dynamic_cargo_generated
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,590,0,0,0,0,0.0,40,0
1,0.23735311412805946,0.04495832194509154,0.11867655706402973,0,0.0,0.0,1,0.5,0,0,0,600,2,0,-0.0004747,-0.00023735,0.00044958321945091543,40,0
2,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,2,1.0,0,0,0,610,2,0,-0.0014077999999999999,-0.0007038999999999999,0.0014046691352725192,40,0
3,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,3,1.5,0,0,0,620,4,0,-0.0023409,-0.00117045,0.0014046691352725192,40,0
4,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,4,2.0,0,0,0,630,6,0,-0.003274,-0.001637,0.0014046691352725192,40,0
5,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,5,2.5,0,0,0,640,8,0,-0.0042071,-0.00210355,0.0014046691352725192,40,0
6,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,6,3.0,0,0,0,650,8,0,-0.005140199999999999,-0.0025700999999999996,0.0014046691352725192,40,0
7,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,7,3.5,0,0,0,660,8,0,-0.005598599999999999,-0.0027992999999999994,0.0014046691352725192,40,0
8,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,8,4.0,1,1,0,670,8,0,-0.006056999999999999,-0.0030284999999999995,0.0014046691352725192,40,0
9,0.7415814895931654,0.1404669135272519,0.3707907447965827,0,0.0,0.0,9,4.5,1,1,0,680,8,0,-0.006515399999999999,-0.0032576999999999997,0.0014046691352725192,40,0
10,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,10,5.0,1,1,0,690,10,0,-0.0074484999999999985,-0.0037242499999999993,0.0018542523547234345,40,0
11,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,11,5.5,1,1,0,700,10,0,-0.0083816,-0.0041908,0.0018542523547234345,40,0
12,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,12,6.0,1,1,0,710,10,0,-0.009314699999999999,-0.004657349999999999,0.0018542523547234345,40,0
13,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,13,6.5,1,1,0,720,10,0,-0.010247799999999998,-0.005123899999999999,0.0018542523547234345,40,0
14,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,14,7.0,1,1,0,730,12,0,-0.0107225,-0.00536125,0.0018542523547234345,40,0
15,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,15,7.5,2,2,0,740,12,0,-0.011197199999999997,-0.005598599999999999,0.0018542523547234345,40,0
16,0.9789346037212248,0.18542523547234344,0.4894673018606124,0,0.0,0.0,16,8.0,2,2,0,750,12,0,-0.011197199999999997,-0.005598599999999999,0.0018542523547234345,40,0
17,1.8195884404770284,0.3446579717947015,0.9097942202385142,0,0.0,0.0,17,8.5,3,3,0,760,14,0,-0.0116917,-0.00584585,0.0034465797179470147,40,0
18,1.8195884404770284,0.3446579717947015,0.9097942202385142,0,0.0,0.0,18,9.0,3,3,0,770,14,0,-0.012186199999999998,-0.006093099999999999,0.0034465797179470147,40,0
